,dataset,#teams,#skills,#experts
,GITH-2.1,11312,19,2686
,,,,
,#zero_skill_teams,#zero_expert_teams,#dup_teams,#unique_teams
,1673 (14.8% of teams),0 (0.0% of teams),6201 (54.8% of teams),5111 (45.2% of teams)
,,,,
,#min_team_experts,#max_team_experts,#min_team_skill,#max_team_skill
,3 (3207 teams~28.4%),30 (588 teams~5.2%),0 (1673 teams~14.8%),17 (1 teams~0.0%)
,,,
,#min_exp_team,#max_exp_team,#mt_10,#ts_3
,1 (55 experts~2.0%),1984 (1 experts~0.0%),2147 (79.9%),11312 (100.0%)
,[m105-m174-m323-m340-m390-...],[m1870],,
,,,
dup_index,#skills,#experts,skills,experts
0,2,3,[s1-s2],[m1-m2-m3]
0,1,4,[s1],[m4-m5-m6-m7]
0,4,5,[s1-s2-s3-s4],[m1-m8-m9-m10-m11]
0,2,4,[s1-s3],[m12-m13-m14-m15]
0,1,3,[s1],[m16-m17-m18]
0,0,3,[],[m19-m20-m21]
0,1,7,[s5],[m17-m22-m23-m24-m25-m26-m27]
0,1,8,[s3],[m8-m28-m29-m30-m31-m32-m33-m34]
0,3,3,[s1-s3-s6],[m35-m36-m37]
14,1,3,[s7],[m38-m39-m40]
0,0,3,[],[m8-m29-m41]
1,0,3,[],[m8-m28-m31]
119,1,3,[s5],[m17-m23-m42]
0,2,3,[s3-s7],[m38-m39-m40]
0,4,6,[s2-s3-s5-s8],[m43-m44-m45-m46-m47-m48]
0,1,6,[s5],[m8-m28-m30-m31-m33-m34]
0,2,3,[s4-s5],[m49-m50-m51]
0,0,9,[],[m8-m28-m29-m30-m31-m32-m33-m34-m52]
0,1,3,[s3],[m53-m54-m55]
0,16,3,[s1-s2-s3-s4-s5-s6-s7-s8-s9-s10-s11-s12-s13-s14-s15-s16],[m17-m56-m57]
0,5,4,[s2-s3-s5-s7-s8],[m44-m58-m59-m60]
1,0,3,[],[m8-m28-m31]
0,5,3,[s2-s3-s4-s7-s8],[m38-m39-m61]
0,0,7,[],[m8-m28-m29-m30-m31-m32-m33]
0,2,4,[s1-s3],[m8-m28-m31-m33]
0,2,11,[s4-s16],[m62-m63-m64-m65-m66-m67-m68-m69-m70-m71-m72]
0,0,10,[],[m62-m63-m64-m65-m66-m67-m69-m70-m72-m73]
1,0,3,[],[m8-m28-m31]
0,3,3,[s3-s4-s5],[m74-m75-m76]
2,0,12,[],[m62-m63-m64-m65-m66-m67-m68-m69-m70-m71-m72-m73]
0,2,3,[s1-s4],[m77-m78-m79]
571,1,3,[s1],[m6-m80-m81]
5,1,10,[s6],[m82-m83-m84-m85-m86-m87-m88-m89-m90-m91]
0,2,7,[s4-s12],[m17-m23-m92-m93-m94-m95-m96]
0,0,3,[],[m57-m97-m98]
0,2,10,[s4-s16],[m62-m63-m64-m65-m66-m67-m68-m69-m70-m72]
2,0,12,[],[m62-m63-m64-m65-m66-m67-m68-m69-m70-m71-m72-m73]
0,7,6,[s1-s3-s5-s13-s15-s17-s18],[m23-m29-m32-m94-m99-m100]
0,3,4,[s3-s4-s6],[m17-m101-m102-m103]
0,0,10,[],[m62-m63-m65-m66-m67-m68-m69-m70-m72-m73]
0,3,5,[s3-s4-s5],[m17-m23-m42-m94-m104]
0,0,3,[],[m105-m106-m107]
0,0,8,[],[m62-m63-m64-m65-m66-m68-m69-m70]
0,0,7,[],[m62-m65-m66-m67-m68-m69-m72]
0,5,8,[s3-s4-s5-s15-s16],[m108-m109-m110-m111-m112-m113-m114-m115]
0,1,3,[s4],[m116-m117-m118]
22,0,6,[],[m8-m28-m29-m30-m32-m34]
3,0,11,[],[m62-m63-m64-m65-m66-m67-m68-m69-m70-m72-m73]
0,1,3,[s1],[m10-m15-m119]
0,0,6,[],[m120-m121-m122-m123-m124-m125]
0,0,5,[],[m9-m126-m127-m128-m129]
0,2,3,[s3-s16],[m17-m130-m131]
0,0,3,[],[m132-m133-m134]
0,1,6,[s1],[m135-m136-m137-m138-m139-m140]
0,1,6,[s5],[m50-m141-m142-m143-m144-m145]
0,1,3,[s5],[m146-m147-m148]
0,0,3,[],[m149-m150-m151]
0,1,4,[s1],[m92-m152-m153-m154]
0,2,4,[s1-s4],[m155-m156-m157-m158]
0,3,6,[s2-s3-s5],[m19-m20-m25-m46-m159-m160]
4,0,6,[],[m149-m150-m161-m162-m163-m164]
0,1,3,[s16],[m17-m165-m166]
0,1,5,[s4],[m17-m167-m168-m169-m170]
0,1,5,[s5],[m120-m121-m122-m123-m171]
0,4,3,[s3-s4-s5-s6],[m17-m101-m172]
0,2,3,[s3-s4],[m103-m173-m174]
0,1,4,[s5],[m50-m107-m175-m176]
0,2,3,[s1-s3],[m177-m178-m179]
0,3,9,[s1-s3-s4],[m16-m18-m180-m181-m182-m183-m184-m185-m186]
0,2,5,[s3-s5],[m49-m51-m187-m188-m189]
0,1,4,[s5],[m26-m99-m190-m191]
0,0,7,[],[m8-m28-m29-m30-m32-m33-m34]
0,0,3,[],[m8-m28-m41]
0,0,3,[],[m133-m192-m193]
0,2,5,[s3-s16],[m62-m65-m66-m69-m72]
0,3,3,[s3-s5-s6],[m17-m194-m195]
0,0,5,[],[m62-m64-m66-m70-m72]
3,0,11,[],[m62-m63-m64-m65-m66-m67-m68-m69-m70-m72-m73]
0,1,6,[s4],[m95-m127-m196-m197-m198-m199]
0,1,5,[s1],[m8-m17-m29-m200-m201]
0,3,4,[s3-s15-s16],[m17-m202-m203-m204]
0,0,4,[],[m49-m187-m188-m205]
0,1,11,[s6],[m82-m83-m84-m85-m86-m87-m88-m89-m90-m206-m207]
0,2,6,[s5-s8],[m208-m209-m210-m211-m212-m213]
0,0,7,[],[m121-m122-m123-m125-m171-m214-m215]
4,0,6,[],[m149-m150-m161-m162-m163-m164]
0,2,4,[s2-s3],[m133-m134-m216-m217]
0,1,5,[s1],[m17-m23-m37-m218-m219]
0,3,3,[s1-s4-s17],[m220-m221-m222]
0,1,5,[s5],[m17-m24-m223-m224-m225]
0,1,4,[s5],[m141-m142-m226-m227]
5,1,10,[s6],[m82-m83-m84-m85-m86-m87-m88-m89-m90-m91]
0,4,5,[s2-s3-s5-s8],[m20-m45-m228-m229-m230]
0,2,5,[s4-s12],[m17-m23-m231-m232-m233]
0,2,6,[s1-s4],[m10-m157-m158-m204-m234-m235]
0,1,6,[s6],[m149-m161-m236-m237-m238-m239]
6,1,9,[s6],[m82-m83-m84-m85-m86-m87-m88-m89-m90]
0,4,9,[s2-s3-s5-s8],[m56-m123-m128-m197-m198-m240-m241-m242-m243]
18,0,9,[],[m244-m245-m246-m247-m248-m249-m250-m251-m252]
0,1,4,[s4],[m253-m254-m255-m256]
0,1,3,[s4],[m17-m54-m257]
0,0,9,[],[m62-m63-m64-m65-m66-m67-m68-m69-m73]
0,2,3,[s4-s12],[m118-m155-m258]
