,dataset,#teams,#skills,#experts
,GITH,7833,20,874
,,,,
,#zero_skill_teams,#zero_expert_teams,#dup_teams,#unique_teams
,0 (0.0% of teams),0 (0.0% of teams),0 (0.0% of teams),7833 (100.0% of teams)
,,,,
,#min_team_experts,#max_team_experts,#min_team_skill,#max_team_skill
,3 (2644 teams~33.8%),29 (3 teams~0.0%),1 (3451 teams~44.1%),17 (1 teams~0.0%)
,,,
,#min_exp_team,#max_exp_team,#mt_10,#ts_3
,10 (13 experts~1.5%),2316 (1 experts~0.1%),874 (100.0%),7833 (100.0%)
,[m102-m235-m346-m395-m416-...],[m2],,
,,,
dup_index,#skills,#experts,skills,experts
0,1,3,[s1],[m1-m2-m3]
0,2,4,[s1-s2],[m1-m4-m5-m6]
0,1,5,[s2],[m2-m7-m8-m9-m10]
0,2,4,[s3-s4],[m11-m12-m13-m14]
0,3,3,[s2-s4-s5],[m7-m10-m15]
0,3,4,[s1-s2-s3],[m1-m2-m7-m16]
0,2,3,[s2-s5],[m2-m17-m18]
0,1,4,[s5],[m17-m19-m20-m21]
0,1,6,[s5],[m2-m7-m18-m19-m22-m23]
0,1,4,[s4],[m24-m25-m26-m27]
0,1,3,[s5],[m2-m7-m28]
0,1,3,[s5],[m24-m25-m27]
0,13,4,[s1-s2-s3-s4-s5-s6-s7-s8-s9-s10-s11-s12-s13],[m2-m24-m26-m27]
0,1,5,[s11],[m2-m24-m25-m26-m27]
0,5,3,[s1-s2-s4-s9-s14],[m29-m30-m31]
0,1,7,[s4],[m2-m24-m25-m26-m27-m33-m34]
0,3,3,[s2-s4-s5],[m2-m7-m28]
0,6,17,[s4-s5-s9-s13-s15-s16],[m35-m36-m37-m38-m39-m40-m41-m42-m43-m44-m45-m46-m47-m48-m49-m50-m51]
0,2,4,[s4-s12],[m24-m25-m26-m27]
0,2,5,[s1-s2],[m1-m2-m7-m52-m53]
0,5,3,[s1-s4-s5-s9-s17],[m2-m7-m23]
0,4,3,[s1-s2-s3-s4],[m12-m13-m14]
0,4,3,[s1-s2-s4-s5],[m2-m7-m17]
0,3,4,[s2-s4-s18],[m2-m12-m54-m55]
0,3,6,[s4-s5-s11],[m2-m24-m25-m26-m27-m33]
0,1,3,[s1],[m5-m6-m56]
0,2,6,[s2-s18],[m2-m7-m16-m52-m57-m58]
0,7,3,[s1-s4-s5-s6-s7-s9-s13],[m7-m26-m52]
0,3,4,[s2-s3-s4],[m2-m59-m60-m61]
0,3,5,[s2-s4-s5],[m2-m7-m28-m52-m62]
0,5,7,[s2-s4-s5-s7-s11],[m63-m64-m65-m66-m67-m68-m69]
0,1,4,[s2],[m24-m25-m26-m27]
0,2,5,[s1-s2],[m3-m4-m6-m56-m70]
0,3,3,[s2-s3-s4],[m2-m8-m9]
0,3,4,[s2-s4-s5],[m2-m7-m59-m71]
0,1,4,[s1],[m4-m6-m70-m72]
0,1,4,[s5],[m2-m23-m73-m74]
0,1,3,[s2],[m24-m25-m26]
0,3,6,[s2-s4-s18],[m63-m64-m67-m68-m75-m76]
0,3,3,[s4-s5-s11],[m2-m7-m77]
0,2,5,[s4-s5],[m2-m7-m8-m9-m78]
0,3,3,[s1-s2-s4],[m2-m7-m52]
0,1,3,[s3],[m11-m13-m14]
0,1,3,[s11],[m2-m7-m52]
0,1,3,[s2],[m79-m80-m81]
0,1,3,[s5],[m15-m18-m82]
0,3,3,[s2-s4-s18],[m83-m84-m85]
0,3,5,[s2-s4-s5],[m2-m7-m28-m84-m86]
0,9,4,[s1-s2-s3-s4-s7-s10-s11-s12-s18],[m87-m88-m89-m90]
0,1,3,[s2],[m87-m88-m91]
0,2,4,[s2-s5],[m10-m18-m21-m92]
0,1,3,[s2],[m93-m94-m95]
0,2,7,[s2-s18],[m2-m7-m81-m86-m96-m97-m98]
0,3,5,[s4-s5-s11],[m87-m88-m89-m96-m99]
0,2,4,[s4-s5],[m2-m19-m73-m90]
