,dataset,#teams,#skills,#experts
,GITH-2.0,45888,20,1217
,,,,
,#zero_skill_teams,#zero_expert_teams,#dup_teams,#unique_teams
,7709 (16.8% of teams),0 (0.0% of teams),36820 (80.2% of teams),9068 (19.8% of teams)
,,,,
,#min_team_experts,#max_team_experts,#min_team_skill,#max_team_skill
,3 (13896 teams~30.3%),30 (2770 teams~6.0%),0 (7709 teams~16.8%),17 (1 teams~0.0%)
,,,
,#min_exp_team,#max_exp_team,#mt_75,#ts_3
,1 (18 experts~1.5%),9977 (1 experts~0.1%),837 (68.8%),45888 (100.0%)
,[m464-m580-m581-m764-m860-...],[m932],,
,,,
dup_index,#skills,#experts,skills,experts
0,1,3,[s1],[m1-m2-m3]
0,2,4,[s1-s2],[m1-m4-m5-m6]
0,1,5,[s2],[m2-m7-m8-m9-m10]
1595,2,4,[s3-s4],[m11-m12-m13-m14]
0,3,3,[s2-s4-s5],[m7-m10-m15]
0,2,3,[s1-s2],[m3-m5-m16]
3190,3,4,[s1-s2-s3],[m1-m2-m7-m17]
0,2,3,[s2-s5],[m2-m18-m19]
0,1,4,[s5],[m18-m20-m21-m22]
0,1,7,[s5],[m2-m7-m19-m20-m23-m24-m25]
6,1,4,[s4],[m26-m27-m28-m29]
11,1,3,[s5],[m2-m7-m30]
0,1,3,[s5],[m26-m27-m29]
1,0,4,[],[m26-m27-m28-m29]
4,0,3,[],[m26-m27-m28]
0,13,4,[s1-s2-s3-s4-s5-s6-s7-s8-s9-s10-s11-s12-s13],[m2-m26-m28-m29]
0,1,5,[s11],[m2-m26-m27-m28-m29]
0,5,3,[s1-s2-s4-s9-s14],[m31-m32-m33]
490,6,5,[s1-s2-s4-s5-s7-s11],[m34-m35-m36-m37-m38]
0,5,3,[s1-s2-s4-s15-s16],[m2-m39-m40]
0,1,7,[s4],[m2-m26-m27-m28-m29-m41-m42]
5,3,3,[s2-s4-s5],[m2-m7-m30]
