,dataset,#teams,#skills,#experts
,GITH,45888,20,1217
,,,,
,#zero_skill_teams,#zero_expert_teams,#dup_teams,#unique_teams
,7709 (16.8% of teams),0 (0.0% of teams),36820 (80.2% of teams),9068 (19.8% of teams)
,,,,
,#min_team_experts,#max_team_experts,#min_team_skill,#max_team_skill
,3 (13896 teams~30.3%),30 (2770 teams~6.0%),0 (7709 teams~16.8%),17 (1 teams~0.0%)
,,,
,#min_exp_team,#max_exp_team,#mt_75,#ts_3
,1 (18 experts~1.5%),9977 (1 experts~0.1%),837 (68.8%),45888 (100.0%)
,,,
dup_index,#skills,#experts,skills,experts
0,1,3,[s0],[m0-m1-m2]
0,2,4,[s0-s1],[m0-m3-m4-m5]
0,1,5,[s1],[m1-m6-m7-m8-m9]
1595,2,4,[s2-s3],[m10-m11-m12-m13]
0,3,3,[s1-s3-s4],[m6-m9-m14]
0,2,3,[s0-s1],[m2-m4-m15]
3190,3,4,[s0-s1-s2],[m0-m1-m6-m16]
0,2,3,[s1-s4],[m1-m17-m18]
0,1,4,[s4],[m17-m19-m20-m21]
0,1,7,[s4],[m1-m6-m18-m19-m22-m23-m24]
6,1,4,[s3],[m25-m26-m27-m28]
11,1,3,[s4],[m1-m6-m29]
0,1,3,[s4],[m25-m26-m28]
1,0,4,[],[m25-m26-m27-m28]
4,0,3,[],[m25-m26-m27]
0,13,4,[s0-s1-s2-s3-s4-s5-s6-s7-s8-s9-s10-s11-s12],[m1-m25-m27-m28]
0,1,5,[s10],[m1-m25-m26-m27-m28]
0,5,3,[s0-s1-s3-s8-s13],[m30-m31-m32]
490,6,5,[s0-s1-s3-s4-s6-s10],[m33-m34-m35-m36-m37]
0,5,3,[s0-s1-s3-s14-s15],[m1-m38-m39]
0,1,7,[s3],[m1-m25-m26-m27-m28-m40-m41]
5,3,3,[s1-s3-s4],[m1-m6-m29]
324,6,17,[s3-s4-s8-s12-s14-s15],[m42-m43-m44-m45-m46-m47-m48-m49-m50-m51-m52-m53-m54-m55-m56-m57-m58]
1,0,4,[],[m25-m26-m27-m28]
649,2,4,[s3-s11],[m25-m26-m27-m28]
0,2,5,[s0-s1],[m0-m1-m6-m59-m60]
0,5,3,[s0-s3-s4-s8-s16],[m1-m6-m23]
0,4,3,[s0-s1-s2-s3],[m11-m12-m13]
24,0,3,[],[m61-m62-m63]
0,4,3,[s0-s1-s3-s4],[m1-m6-m17]
0,3,4,[s1-s3-s17],[m1-m11-m64-m65]
0,3,6,[s3-s4-s10],[m1-m25-m26-m27-m28-m40]
1047,1,3,[s0],[m4-m5-m66]
3,1,3,[s2],[m12-m67-m68]
2410,2,6,[s1-s17],[m1-m6-m16-m59-m69-m70]
0,7,3,[s0-s3-s4-s5-s6-s8-s12],[m6-m27-m59]
0,3,4,[s1-s2-s3],[m1-m71-m72-m73]
0,3,5,[s1-s3-s4],[m1-m6-m29-m59-m74]
621,5,7,[s1-s3-s4-s6-s10],[m75-m76-m77-m78-m79-m80-m81]
1,0,4,[],[m25-m26-m27-m28]
2,1,4,[s1],[m25-m26-m27-m28]
0,2,5,[s0-s1],[m2-m3-m5-m66-m82]
321,3,3,[s1-s2-s3],[m1-m7-m8]
0,3,4,[s1-s3-s4],[m1-m6-m71-m83]
2,1,4,[s1],[m25-m26-m27-m28]
0,1,4,[s0],[m3-m5-m82-m84]
0,1,4,[s4],[m1-m23-m85-m86]
1,0,4,[],[m25-m26-m27-m28]
7,6,28,[s0-s1-s3-s8-s10-s17],[m87-m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114]
0,1,3,[s1],[m25-m26-m27]
0,3,6,[s1-s3-s17],[m75-m76-m79-m80-m115-m116]
3,1,3,[s2],[m12-m67-m68]
0,3,3,[s3-s4-s10],[m1-m6-m117]
0,2,5,[s3-s4],[m1-m6-m7-m8-m118]
4,0,3,[],[m25-m26-m27]
3,1,3,[s2],[m12-m67-m68]
13,3,3,[s0-s1-s3],[m1-m6-m59]
0,1,3,[s2],[m10-m12-m13]
1,0,4,[],[m25-m26-m27-m28]
228,1,3,[s10],[m1-m6-m59]
0,1,3,[s1],[m119-m120-m121]
2325,1,3,[s4],[m14-m18-m122]
421,7,25,[s0-s1-s3-s4-s8-s10-s17],[m87-m88-m89-m90-m91-m92-m93-m94-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m107-m108-m109-m110-m111-m113-m114]
5,3,3,[s1-s3-s4],[m1-m6-m29]
955,3,3,[s1-s3-s17],[m123-m124-m125]
0,3,5,[s1-s3-s4],[m1-m6-m29-m124-m126]
6,1,4,[s3],[m25-m26-m27-m28]
6,1,4,[s3],[m25-m26-m27-m28]
210,9,4,[s0-s1-s2-s3-s6-s9-s10-s11-s17],[m127-m128-m129-m130]
10,1,3,[s1],[m127-m128-m131]
0,2,4,[s1-s4],[m9-m18-m21-m132]
0,1,3,[s1],[m133-m134-m135]
7,6,28,[s0-s1-s3-s8-s10-s17],[m87-m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114]
0,2,7,[s1-s17],[m1-m6-m121-m126-m136-m137-m138]
0,3,5,[s3-s4-s10],[m127-m128-m129-m136-m139]
9,7,28,[s0-s1-s3-s4-s8-s10-s17],[m87-m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114]
0,2,4,[s3-s4],[m1-m19-m85-m130]
0,2,5,[s0-s1],[m1-m6-m59-m60-m140]
0,0,3,[],[m12-m13-m67]
449,5,5,[s3-s4-s10-s14-s15],[m141-m142-m143-m144-m145]
0,1,4,[s4],[m85-m130-m132-m146]
0,1,3,[s4],[m9-m147-m148]
0,1,4,[s0],[m0-m69-m149-m150]
0,3,3,[s3-s4-s14],[m18-m20-m151]
8,0,3,[],[m10-m11-m13]
0,1,4,[s1],[m1-m121-m137-m152]
0,4,3,[s1-s2-s3-s4],[m1-m71-m83]
0,1,3,[s4],[m85-m86-m153]
0,1,3,[s4],[m19-m154-m155]
1,0,4,[],[m25-m26-m27-m28]
0,1,4,[s0],[m1-m25-m27-m31]
0,3,3,[s3-s6-s10],[m1-m156-m157]
14,1,4,[s2],[m12-m67-m68-m158]
0,2,4,[s4-s15],[m159-m160-m161-m162]
8,0,3,[],[m10-m11-m13]
0,1,4,[s0],[m1-m6-m163-m164]
0,1,4,[s4],[m1-m23-m140-m165]
0,3,4,[s1-s3-s10],[m1-m140-m166-m167]
0,3,6,[s3-s4-s10],[m1-m6-m23-m65-m168-m169]
0,3,3,[s3-s4-s17],[m1-m7-m8]
0,4,3,[s3-s4-s14-s15],[m170-m171-m172]
0,2,8,[s4-s15],[m147-m159-m161-m173-m174-m175-m176-m177]
0,4,4,[s1-s2-s3-s14],[m8-m31-m178-m179]
0,1,4,[s0],[m5-m16-m66-m82]
0,2,3,[s0-s3],[m8-m14-m180]
0,1,3,[s1],[m1-m120-m181]
32,0,5,[],[m2-m3-m4-m5-m82]
0,0,7,[],[m40-m182-m183-m184-m185-m186-m187]
3033,1,3,[s10],[m1-m6-m188]
0,1,4,[s1],[m124-m126-m189-m190]
3,1,3,[s2],[m12-m67-m68]
0,1,4,[s0],[m141-m143-m145-m191]
0,1,5,[s15],[m173-m175-m176-m177-m192]
0,2,3,[s0-s1],[m1-m11-m65]
0,5,4,[s3-s5-s10-s14-s15],[m1-m6-m22-m136]
0,2,4,[s0-s3],[m0-m16-m146-m153]
0,1,3,[s2],[m12-m158-m193]
2866,1,3,[s1],[m121-m137-m152]
0,4,5,[s3-s4-s14-s15],[m141-m143-m144-m145-m194]
2948,2,3,[s3-s4],[m118-m195-m196]
0,1,5,[s10],[m1-m197-m198-m199-m200]
0,1,3,[s5],[m1-m117-m201]
0,2,3,[s1-s17],[m1-m202-m203]
1692,4,3,[s1-s3-s4-s17],[m1-m29-m204]
8,0,3,[],[m10-m11-m13]
0,2,3,[s1-s4],[m1-m6-m125]
0,1,5,[s4],[m21-m122-m132-m153-m205]
0,1,3,[s0],[m149-m157-m206]
0,1,3,[s2],[m1-m85-m207]
0,3,3,[s0-s3-s14],[m48-m208-m209]
0,2,4,[s2-s3],[m1-m6-m59-m136]
0,2,6,[s0-s1],[m2-m3-m4-m5-m66-m82]
0,3,3,[s0-s1-s3],[m1-m13-m124]
0,3,4,[s1-s3-s10],[m1-m6-m117-m171]
22,0,3,[],[m137-m157-m210]
0,2,4,[s4-s14],[m23-m64-m65-m121]
9,7,28,[s0-s1-s3-s4-s8-s10-s17],[m87-m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114]
0,2,6,[s1-s3],[m1-m6-m125-m127-m128-m131]
3,1,3,[s2],[m12-m67-m68]
12,5,4,[s0-s1-s3-s5-s10],[m28-m163-m211-m212]
0,2,3,[s4-s8],[m40-m153-m213]
0,8,4,[s0-s1-s3-s4-s10-s12-s14-s15],[m1-m6-m59-m139]
0,5,11,[s0-s1-s3-s4-s10],[m87-m88-m89-m91-m94-m96-m100-m102-m104-m107-m108]
0,5,21,[s3-s4-s6-s14-s15],[m214-m215-m216-m217-m218-m219-m220-m221-m222-m223-m224-m225-m226-m227-m228-m229-m230-m231-m232-m233-m234]
0,5,4,[s0-s1-s3-s14-s15],[m76-m79-m80-m115]
0,2,4,[s3-s10],[m25-m26-m27-m28]
0,6,15,[s0-s1-s3-s4-s14-s15],[m214-m215-m216-m217-m218-m219-m220-m221-m222-m223-m225-m228-m230-m231-m232]
0,1,4,[s1],[m132-m167-m235-m236]
31,3,4,[s1-s2-s3],[m10-m11-m12-m13]
3060,3,3,[s3-s5-s10],[m1-m73-m237]
0,1,3,[s3],[m238-m239-m240]
0,1,4,[s10],[m1-m6-m7-m59]
0,1,3,[s4],[m9-m23-m122]
0,1,5,[s1],[m1-m74-m124-m126-m136]
332,1,3,[s1],[m134-m235-m241]
0,1,3,[s4],[m18-m20-m85]
0,2,3,[s4-s15],[m160-m161-m173]
0,0,4,[],[m10-m11-m12-m13]
3,1,3,[s2],[m12-m67-m68]
0,2,3,[s1-s17],[m1-m6-m242]
23,2,4,[s0-s1],[m3-m157-m210-m243]
0,1,3,[s2],[m11-m193-m244]
3,1,3,[s2],[m12-m67-m68]
20,0,4,[],[m245-m246-m247-m248]
10,1,3,[s1],[m127-m128-m131]
16,1,3,[s1],[m1-m38-m136]
7,6,28,[s0-s1-s3-s8-s10-s17],[m87-m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114]
0,1,4,[s0],[m1-m2-m4-m149]
3,1,3,[s2],[m12-m67-m68]
0,3,4,[s2-s3-s17],[m10-m11-m12-m13]
0,2,3,[s0-s3],[m65-m146-m249]
0,3,3,[s1-s3-s17],[m1-m124-m126]
0,2,3,[s1-s17],[m123-m125-m250]
3,1,3,[s2],[m12-m67-m68]
0,2,5,[s0-s3],[m30-m154-m164-m251-m252]
0,3,3,[s3-s14-s15],[m122-m253-m254]
30,1,4,[s1],[m127-m128-m129-m131]
1669,2,8,[s0-s3],[m1-m249-m255-m256-m257-m258-m259-m260]
0,2,7,[s3-s4],[m18-m20-m40-m85-m130-m168-m241]
3,1,3,[s2],[m12-m67-m68]
0,2,4,[s0-s1],[m1-m73-m86-m132]
0,1,4,[s10],[m1-m25-m26-m28]
33,1,3,[s10],[m1-m6-m7]
0,1,4,[s0],[m261-m262-m263-m264]
507,1,3,[s1],[m1-m6-m70]
11,1,3,[s4],[m1-m6-m29]
2046,3,6,[s1-s3-s4],[m1-m6-m7-m8-m29-m59]
12,5,4,[s0-s1-s3-s5-s10],[m28-m163-m211-m212]
0,1,3,[s0],[m1-m265-m266]
2694,3,3,[s1-s2-s3],[m1-m6-m136]
13,3,3,[s0-s1-s3],[m1-m6-m59]
0,3,3,[s0-s10-s14],[m0-m2-m21]
0,3,4,[s1-s2-s3],[m1-m6-m121-m267]
0,1,5,[s4],[m159-m160-m162-m177-m268]
0,4,4,[s0-s1-s10-s11],[m185-m269-m270-m271]
1081,2,6,[s3-s4],[m9-m272-m273-m274-m275-m276]
0,3,4,[s1-s2-s3],[m159-m160-m173-m277]
7,6,28,[s0-s1-s3-s8-s10-s17],[m87-m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114]
957,5,3,[s3-s4-s8-s14-s15],[m253-m278-m279]
0,4,5,[s3-s4-s8-s14],[m251-m280-m281-m282-m283]
0,3,3,[s1-s3-s4],[m70-m124-m126]
14,1,4,[s2],[m12-m67-m68-m158]
0,1,3,[s0],[m1-m121-m137]
7,6,28,[s0-s1-s3-s8-s10-s17],[m87-m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114]
59,1,3,[s4],[m118-m195-m284]
0,1,6,[s4],[m195-m196-m284-m285-m286-m287]
0,3,3,[s1-s3-s4],[m1-m18-m132]
0,1,3,[s1],[m0-m241-m288]
3,1,3,[s2],[m12-m67-m68]
0,3,5,[s1-s3-s4],[m289-m290-m291-m292-m293]
3,1,3,[s2],[m12-m67-m68]
29,3,6,[s1-s3-s4],[m272-m273-m274-m275-m276-m294]
0,4,5,[s1-s3-s4-s8],[m30-m31-m40-m295-m296]
0,3,3,[s0-s3-s4],[m273-m274-m275]
15,1,3,[s1],[m137-m157-m210]
0,2,3,[s3-s4],[m272-m274-m275]
15,1,3,[s1],[m137-m157-m210]
0,2,5,[s3-s4],[m14-m20-m21-m122-m241]
578,3,3,[s0-s1-s3],[m1-m6-m297]
0,1,3,[s0],[m1-m154-m298]
28,1,3,[s1],[m74-m126-m243]
0,3,3,[s3-s4-s14],[m18-m85-m122]
0,3,3,[s1-s2-s3],[m1-m83-m267]
3050,2,4,[s4-s15],[m160-m176-m192-m299]
