,dataset,#teams,#skills,#experts
,GITH,3229,20,107
,,,,
,#zero_skill_teams,#zero_expert_teams,#dup_teams,#unique_teams
,0 (0.0% of teams),0 (0.0% of teams),1190 (36.9% of teams),2039 (63.1% of teams)
,,,,
,#min_team_experts,#max_team_experts,#min_team_skill,#max_team_skill
,3 (1198 teams~37.1%),23 (5 teams~0.2%),1 (1649 teams~51.1%),17 (1 teams~0.0%)
,,,
,#min_exp_team,#max_exp_team,#mt_75,#ts_3
,39 (1 experts~0.9%),995 (1 experts~0.9%),73 (68.8%),3229 (100.0%)
,,,
dup_index,#skills,#experts,skills,experts
66,1,4,[s1],[m0-m1-m2-m3]
2,2,3,[s0-s1],[m0-m1-m4]
37,2,3,[s1-s17],[m0-m1-m4]
0,3,4,[s1-s3-s4],[m0-m1-m4-m5]
0,3,3,[s1-s2-s3],[m0-m2-m3]
0,2,5,[s3-s4],[m0-m1-m2-m3-m6]
10,3,3,[s0-s1-s3],[m0-m1-m4]
0,1,3,[s10],[m0-m1-m4]
0,3,4,[s1-s3-s4],[m0-m1-m7-m9]
0,2,4,[s1-s17],[m0-m1-m9-m10]
0,3,3,[s3-s4-s17],[m0-m2-m3]
0,5,3,[s3-s5-s10-s14-s15],[m0-m1-m10]
0,2,3,[s3-s4],[m6-m12-m13]
0,2,3,[s1-s4],[m0-m1-m8]
0,2,4,[s2-s3],[m0-m1-m4-m10]
25,2,3,[s1-s3],[m0-m1-m8]
0,8,4,[s0-s1-s3-s4-s10-s12-s14-s15],[m0-m1-m4-m11]
0,1,4,[s10],[m0-m1-m2-m4]
0,1,5,[s1],[m0-m5-m7-m9-m10]
5,3,3,[s1-s3-s17],[m0-m7-m9]
0,1,3,[s10],[m0-m1-m2]
0,3,5,[s1-s3-s4],[m0-m1-m2-m3-m4]
0,3,3,[s1-s2-s3],[m0-m1-m10]
0,1,4,[s4],[m12-m13-m16-m17]
0,3,3,[s3-s4-s10],[m0-m1-m11]
0,2,5,[s3-s4],[m0-m1-m2-m3-m4]
0,2,4,[s1-s4],[m17-m18-m19-m20]
4,2,3,[s1-s3],[m0-m1-m9]
1,1,3,[s1],[m0-m7-m9]
227,2,3,[s1-s3],[m0-m2-m3]
175,3,3,[s1-s3-s17],[m0-m1-m2]
0,2,3,[s1-s4],[m0-m1-m21]
0,2,6,[s3-s4],[m6-m12-m13-m22-m23-m24]
0,4,4,[s0-s1-s3-s17],[m0-m5-m8-m9]
0,3,5,[s0-s1-s3],[m0-m1-m2-m3-m4]
0,4,6,[s1-s3-s4-s17],[m0-m1-m2-m3-m7-m9]
0,1,6,[s4],[m6-m12-m17-m22-m23-m24]
0,1,12,[s4],[m6-m12-m17-m18-m19-m20-m22-m23-m24-m25-m27-m28]
0,1,4,[s1],[m0-m2-m3-m9]
0,1,11,[s4],[m6-m12-m13-m17-m18-m20-m22-m23-m24-m27-m29]
0,1,3,[s4],[m6-m22-m24]
0,2,3,[s0-s1],[m0-m2-m3]
0,1,3,[s1],[m0-m8-m10]
