,dataset,#teams,#skills,#experts
,IMDB2.0,32106,24,2022
,,,,
,#zero_skill_teams,#zero_expert_teams,#dup_teams,#unique_teams
,0 (0.0% of teams),0 (0.0% of teams),1438 (4.5% of teams),30668 (95.5% of teams)
,,,,
,#min_team_experts,#max_team_experts,#min_team_skill,#max_team_skill
,2 (1 teams~0.0%),10 (7 teams~0.0%),1 (15221 teams~47.4%),3 (7376 teams~23.0%)
,,,
,#min_exp_team,#max_exp_team,#mt_75,#ts_3
,1 (35 experts~1.7%),430 (1 experts~0.0%),626 (31.0%),32105 (100.0%)
,[m75-m422-m716-m717-m1361-...],[m1272],,
,,,
dup_index,#skills,#experts,skills,experts
0,1,3,[s1],[m1-m2-m3]
0,1,4,[s1],[m4-m5-m6-m7]
0,1,4,[s2],[m8-m9-m10-m11]
0,1,3,[s2],[m12-m13-m14]
0,2,4,[s1-s3],[m5-m6-m15-m16]
1,1,3,[s1],[m5-m6-m16]
0,1,3,[s1],[m17-m18-m19]
0,2,3,[s3-s4],[m17-m18-m20]
0,2,3,[s1-s5],[m21-m22-m23]
0,1,3,[s6],[m24-m25-m26]
0,1,3,[s1],[m5-m6-m15]
0,1,4,[s1],[m5-m6-m7-m15]
0,3,3,[s1-s3-s6],[m27-m28-m29]
0,1,3,[s1],[m30-m31-m32]
0,1,3,[s1],[m9-m11-m33]
1,1,3,[s1],[m5-m6-m16]
0,2,3,[s1-s5],[m34-m35-m36]
0,2,4,[s1-s5],[m9-m11-m33-m37]
0,1,3,[s1],[m9-m33-m38]
0,1,4,[s1],[m19-m39-m40-m41]
0,1,3,[s1],[m3-m42-m43]
0,1,4,[s1],[m9-m37-m44-m45]
0,1,4,[s1],[m19-m26-m39-m46]
0,1,3,[s1],[m47-m48-m49]
0,3,3,[s1-s7-s8],[m9-m11-m45]
0,1,3,[s1],[m9-m33-m37]
0,2,5,[s1-s8],[m9-m10-m11-m38-m45]
0,1,3,[s2],[m9-m45-m50]
2,1,3,[s1],[m17-m39-m41]
0,1,3,[s9],[m21-m51-m52]
0,1,3,[s1],[m17-m41-m53]
2,1,3,[s1],[m17-m39-m41]
0,3,5,[s3-s5-s6],[m8-m9-m10-m11-m37]
0,1,4,[s1],[m9-m11-m37-m45]
0,1,4,[s1],[m54-m55-m56-m57]
0,2,4,[s1-s10],[m18-m19-m39-m58]
0,1,3,[s1],[m59-m60-m61]
5,1,4,[s1],[m8-m9-m11-m37]
0,3,3,[s2-s3-s5],[m9-m11-m37]
0,2,3,[s1-s11],[m22-m23-m62]
0,1,3,[s1],[m51-m63-m64]
0,1,3,[s3],[m27-m29-m35]
0,3,3,[s3-s10-s12],[m15-m65-m66]
0,1,3,[s9],[m67-m68-m69]
0,2,3,[s1-s5],[m17-m18-m53]
0,1,3,[s1],[m70-m71-m72]
0,2,3,[s1-s3],[m17-m19-m41]
0,2,3,[s1-s8],[m18-m19-m53]
0,2,4,[s1-s9],[m17-m18-m19-m53]
0,1,3,[s1],[m9-m37-m44]
0,1,4,[s1],[m17-m19-m41-m53]
0,2,3,[s1-s5],[m73-m74-m75]
0,1,3,[s1],[m66-m76-m77]
0,1,3,[s13],[m15-m65-m77]
0,1,4,[s1],[m17-m46-m53-m78]
0,1,4,[s1],[m8-m9-m45-m50]
0,1,3,[s1],[m79-m80-m81]
0,1,6,[s2],[m9-m10-m11-m37-m45-m50]
0,1,3,[s1],[m82-m83-m84]
0,1,3,[s1],[m12-m51-m85]
0,1,3,[s1],[m9-m20-m37]
0,1,3,[s5],[m47-m51-m82]
0,1,4,[s1],[m32-m51-m82-m86]
0,2,3,[s1-s2],[m9-m11-m37]
0,2,4,[s1-s5],[m8-m9-m38-m59]
0,1,3,[s1],[m39-m46-m53]
4,1,4,[s1],[m17-m39-m46-m53]
0,1,4,[s2],[m9-m37-m45-m59]
0,2,3,[s2-s3],[m8-m9-m10]
0,1,3,[s1],[m87-m88-m89]
8,1,3,[s2],[m9-m38-m45]
7,1,3,[s1],[m9-m37-m90]
0,1,3,[s1],[m47-m51-m83]
0,2,5,[s1-s5],[m32-m51-m82-m84-m86]
0,2,3,[s1-s6],[m39-m46-m53]
0,2,3,[s1-s9],[m77-m91-m92]
0,2,4,[s2-s5],[m9-m37-m45-m50]
0,1,3,[s1],[m32-m51-m93]
0,1,3,[s1],[m9-m37-m94]
0,1,3,[s1],[m19-m95-m96]
0,1,3,[s2],[m25-m26-m97]
0,1,3,[s1],[m16-m98-m99]
0,1,4,[s1],[m9-m11-m20-m37]
0,1,3,[s9],[m9-m10-m37]
3,1,3,[s1],[m9-m37-m59]
0,1,5,[s1],[m6-m19-m43-m66-m95]
3,1,3,[s1],[m9-m37-m59]
0,1,3,[s9],[m9-m37-m59]
0,2,3,[s1-s10],[m9-m10-m38]
0,3,4,[s1-s5-s10],[m17-m46-m57-m100]
15,2,3,[s1-s2],[m9-m38-m45]
0,2,3,[s1-s9],[m17-m34-m39]
0,1,3,[s9],[m34-m101-m102]
0,3,3,[s3-s5-s6],[m9-m37-m45]
0,1,5,[s1],[m9-m11-m20-m37-m90]
0,3,3,[s1-s2-s3],[m77-m91-m92]
0,2,3,[s1-s13],[m16-m98-m103]
4,1,4,[s1],[m17-m39-m46-m53]
5,1,4,[s1],[m8-m9-m11-m37]
0,2,3,[s1-s5],[m51-m82-m84]
0,1,3,[s2],[m19-m41-m104]
0,2,4,[s1-s9],[m8-m9-m11-m37]
0,1,3,[s2],[m54-m55-m56]
0,1,3,[s3],[m9-m38-m105]
0,2,3,[s1-s3],[m19-m41-m104]
0,1,3,[s1],[m17-m18-m39]
0,1,4,[s1],[m9-m10-m20-m38]
6,1,3,[s1],[m9-m38-m59]
12,1,3,[s1],[m71-m72-m106]
9,1,3,[s1],[m32-m51-m84]
0,1,3,[s1],[m53-m107-m108]
0,3,5,[s1-s3-s7],[m6-m17-m18-m19-m53]
0,1,3,[s1],[m15-m76-m77]
