,dataset,#teams,#skills,#experts
,IMDB,32059,23,2011
,,,,
,#zero_skill_teams,#zero_expert_teams,#dup_teams,#unique_teams
,0 (0.0% of teams),0 (0.0% of teams),1436 (4.5% of teams),30623 (95.5% of teams)
,,,,
,#min_team_experts,#max_team_experts,#min_team_skill,#max_team_skill
,2 (1 teams~0.0%),10 (7 teams~0.0%),1 (15180 teams~47.4%),3 (7368 teams~23.0%)
,,,
,#min_exp_team,#max_exp_team,#mt_75,#ts_3
,1 (35 experts~1.7%),431 (1 experts~0.0%),626 (31.1%),7368 (23.0%)
,[m55-m439-m629-m630-m986-...],[m991],,
,,,
dup_index,#skills,#experts,skills,experts
0,1,3,[s1],[m1-m2-m3]
0,1,4,[s1],[m4-m5-m6-m7]
0,1,4,[s2],[m8-m9-m10-m11]
0,1,3,[s2],[m12-m13-m14]
0,2,4,[s1-s3],[m6-m7-m15-m16]
1,1,3,[s1],[m6-m7-m15]
0,1,3,[s1],[m17-m18-m19]
0,3,3,[s2-s3-s4],[m20-m21-m22]
0,2,3,[s3-s5],[m17-m18-m23]
0,2,3,[s1-s6],[m24-m25-m26]
0,1,3,[s7],[m27-m28-m29]
0,1,3,[s1],[m6-m7-m16]
0,1,4,[s1],[m5-m6-m7-m16]
0,3,3,[s1-s3-s7],[m30-m31-m32]
0,1,3,[s1],[m33-m34-m35]
0,1,3,[s1],[m8-m10-m36]
1,1,3,[s1],[m6-m7-m15]
0,2,3,[s1-s6],[m37-m38-m39]
0,2,4,[s1-s6],[m8-m10-m36-m40]
0,1,3,[s1],[m8-m36-m41]
0,1,4,[s1],[m19-m42-m43-m44]
0,1,3,[s1],[m3-m45-m46]
0,1,4,[s1],[m8-m40-m47-m48]
0,1,4,[s1],[m19-m29-m43-m49]
0,1,3,[s1],[m50-m51-m52]
0,3,3,[s1-s8-s9],[m8-m10-m48]
0,1,3,[s1],[m8-m36-m40]
0,2,5,[s1-s8],[m8-m10-m11-m41-m48]
0,1,3,[s2],[m8-m48-m53]
2,1,3,[s1],[m18-m43-m44]
0,2,3,[s1-s6],[m54-m55-m56]
0,1,3,[s10],[m26-m57-m58]
0,1,3,[s1],[m18-m44-m59]
2,1,3,[s1],[m18-m43-m44]
0,3,5,[s3-s6-s7],[m8-m9-m10-m11-m40]
0,1,4,[s1],[m8-m10-m40-m48]
0,1,4,[s1],[m60-m61-m62-m63]
0,2,4,[s1-s11],[m17-m19-m43-m64]
0,1,3,[s1],[m65-m66-m67]
5,1,4,[s1],[m8-m9-m10-m40]
0,1,3,[s12],[m16-m68-m69]
0,3,3,[s2-s3-s6],[m8-m10-m40]
0,2,3,[s1-s13],[m24-m25-m70]
0,1,3,[s1],[m57-m71-m72]
0,1,3,[s3],[m30-m31-m37]
0,3,3,[s3-s11-s14],[m16-m68-m73]
0,1,3,[s10],[m74-m75-m76]
0,2,3,[s1-s6],[m17-m18-m59]
0,1,3,[s1],[m77-m78-m79]
0,2,3,[s1-s3],[m18-m19-m44]
0,2,3,[s1-s8],[m17-m19-m59]
0,2,4,[s1-s10],[m17-m18-m19-m59]
0,1,3,[s1],[m8-m40-m47]
0,1,4,[s1],[m18-m19-m44-m59]
0,1,4,[s1],[m18-m49-m59-m80]
0,1,4,[s1],[m8-m9-m48-m53]
0,1,3,[s1],[m81-m82-m83]
0,1,6,[s2],[m8-m10-m11-m40-m48-m53]
0,1,3,[s1],[m84-m85-m86]
0,1,3,[s1],[m12-m57-m87]
0,1,3,[s1],[m8-m23-m40]
0,1,3,[s6],[m51-m57-m85]
0,1,4,[s1],[m33-m57-m85-m88]
0,2,3,[s1-s2],[m8-m10-m40]
0,2,4,[s1-s6],[m8-m9-m41-m65]
0,1,3,[s1],[m43-m49-m59]
4,1,4,[s1],[m18-m43-m49-m59]
0,1,4,[s2],[m8-m40-m48-m65]
0,2,3,[s2-s3],[m8-m9-m11]
0,1,3,[s1],[m89-m90-m91]
6,1,3,[s2],[m8-m41-m48]
379,1,3,[s1],[m8-m40-m92]
0,1,3,[s1],[m51-m57-m84]
0,2,5,[s1-s6],[m33-m57-m85-m86-m88]
0,2,3,[s1-s7],[m43-m49-m59]
0,2,3,[s1-s10],[m69-m93-m94]
0,2,4,[s2-s6],[m8-m40-m48-m53]
0,1,3,[s1],[m33-m57-m95]
0,1,3,[s1],[m8-m40-m96]
0,1,3,[s1],[m19-m97-m98]
0,1,3,[s2],[m27-m29-m99]
0,1,3,[s1],[m15-m100-m101]
0,1,4,[s1],[m8-m10-m23-m40]
0,1,3,[s10],[m8-m11-m40]
3,1,3,[s1],[m8-m40-m65]
0,1,5,[s1],[m6-m19-m45-m73-m97]
3,1,3,[s1],[m8-m40-m65]
0,1,3,[s10],[m8-m40-m65]
0,2,3,[s1-s11],[m8-m11-m41]
0,3,4,[s1-s6-s11],[m18-m49-m62-m102]
12,2,3,[s1-s2],[m8-m41-m48]
0,2,3,[s1-s10],[m18-m38-m43]
0,1,3,[s10],[m38-m103-m104]
0,3,3,[s3-s6-s7],[m8-m40-m48]
0,1,5,[s1],[m8-m10-m23-m40-m92]
0,3,3,[s1-s2-s3],[m69-m93-m94]
0,2,3,[s1-s12],[m15-m100-m105]
4,1,4,[s1],[m18-m43-m49-m59]
5,1,4,[s1],[m8-m9-m10-m40]
0,2,3,[s1-s6],[m57-m85-m86]
0,1,3,[s2],[m19-m44-m106]
0,2,4,[s1-s10],[m8-m9-m10-m40]
0,1,3,[s2],[m60-m61-m63]
0,1,3,[s3],[m8-m41-m107]
0,2,3,[s1-s3],[m19-m44-m106]
0,1,3,[s1],[m17-m18-m43]
6,1,3,[s2],[m8-m41-m48]
0,1,4,[s1],[m8-m11-m23-m41]
375,1,3,[s1],[m8-m41-m65]
10,1,3,[s1],[m77-m79-m108]
7,1,3,[s1],[m33-m57-m86]
0,1,3,[s1],[m59-m109-m110]
0,1,4,[s1],[m18-m19-m97-m102]
0,3,3,[s1-s15-s16],[m69-m111-m112]
