id	name_first	name_last	male_flag	attribution_status
4o6g2rskzeyvnezyqwpxamwdz	Joannes G.	van den Hanenberg	1.0	1
fl:a_ln:braunberger-1	Alfred S.	Braunberger	1.0	1
fl:a_ln:sessa-1	Anthony J.	Sessa	1.0	1
fl:b_ln:braunberger-2	Beau M.	Braunberger	1.0	1
fl:b_ln:gade-3	Bhargavaram B.	Gade		99
fl:b_ln:howard-16	Brian D.	Howard	1.0	1
fl:d_ln:ashoks.a.-2	Dorai	Ashok S. A.		99
fl:d_ln:falkenburg-1	Dave Robbins	Falkenburg	1.0	1
fl:d_ln:huang-8	Daisie Iris	Huang	0.0	1
fl:d_ln:radcliffe-4	David	Radcliffe	1.0	1
fl:g_ln:freeman-9	Gary A.	Freeman	1.0	1
fl:j_ln:albertson-4	Jacob	Albertson	1.0	1
fl:j_ln:albus-3	James S.	Albus	1.0	1
fl:j_ln:brewer-17	James E.	Brewer	1.0	1
fl:j_ln:de cesare-2	Josh P.	de Cesare	1.0	1
fl:j_ln:lynch-38	Jay	Lynch	1.0	1
fl:k_ln:arnold-2	Kenneth C. R. C.	Arnold	1.0	1
fl:k_ln:cox-31	Keith	Cox	1.0	1
fl:m_ln:culbert-1	Michael	Culbert	1.0	1
fl:m_ln:kakoor-1	Mahadevaswamy G.	Kakoor		99
fl:m_ln:paolini-3	Michael A.	Paolini	1.0	1
fl:m_ln:petach-2	Matthew Nicholas	Petach	1.0	1
fl:r_ln:williams-203	Richard C.	Williams	1.0	1
fl:s_ln:goldman-15	Steven D.	Goldman	1.0	1
fl:s_ln:prathaban-3	Selvaraj Rameshwara	Prathaban		99
nn9x8usd2khsn0yk36c3g0vzm	Frederikus J.	de Munnik	1.0	1
