Linux 6.8.0-60-generic (luna) 	07/06/2025 	_x86_64_	(224 CPU)

10:16:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:16:58 AM  all   48.31    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   51.57
10:16:58 AM    0   89.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.20
10:16:58 AM    1   41.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   58.76
10:16:58 AM    2   93.14    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00    5.88
10:16:58 AM    3   15.31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.69
10:16:58 AM    4   38.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   61.62
10:16:58 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM    6   94.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.94
10:16:58 AM    7   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
10:16:58 AM    8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:16:58 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   10   94.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.94
10:16:58 AM   11    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:16:58 AM   12   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
10:16:58 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   14   39.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   60.61
10:16:58 AM   15    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:16:58 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
