Linux 6.8.0-60-generic (luna) 	07/03/2025 	_x86_64_	(224 CPU)

11:08:01 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:08:02 AM  all   46.64    0.00    0.27    0.00    0.00    0.00    0.00    0.00    0.00   53.09
11:08:02 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM    2   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
11:08:02 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM    4   38.38    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   56.57
11:08:02 AM    5    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:08:02 AM    6   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
11:08:02 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM    8   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
11:08:02 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   10   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
11:08:02 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   12   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
11:08:02 AM   13   56.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   34.00
11:08:02 AM   14   89.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.89
11:08:02 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   16   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
