Linux 6.8.0-60-generic (luna) 	07/02/2025 	_x86_64_	(224 CPU)

12:42:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:19 PM  all    5.95    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   93.95
12:42:19 PM    0    7.88    0.00    0.25    0.00    0.00    0.38    0.00    0.00    0.00   91.49
12:42:19 PM    1   26.78    0.00    0.60    0.00    0.00    0.01    0.00    0.00    0.00   72.61
12:42:19 PM    2    7.69    0.00    0.25    0.00    0.00    0.01    0.00    0.00    0.00   92.05
12:42:19 PM    3   11.67    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   88.04
12:42:19 PM    4    6.97    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   92.84
12:42:19 PM    5    8.65    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   91.14
12:42:19 PM    6    6.42    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   93.40
12:42:19 PM    7    7.47    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   92.38
12:42:19 PM    8    6.25    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   93.57
12:42:19 PM    9    7.41    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   92.44
12:42:19 PM   10    6.71    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   93.13
12:42:19 PM   11    6.71    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   93.16
12:42:19 PM   12    6.50    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   93.34
12:42:19 PM   13    6.51    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   93.37
12:42:19 PM   14    5.95    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   93.90
12:42:19 PM   15    5.96    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   93.94
12:42:19 PM   16    6.01    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   93.84
12:42:19 PM   17    6.51    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   93.38
12:42:19 PM   18    5.83    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   94.03
12:42:19 PM   19    5.57    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.34
12:42:19 PM   20    5.97    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   93.89
12:42:19 PM   21    6.04    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   93.85
12:42:19 PM   22    5.81    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   94.05
12:42:19 PM   23    5.86    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.05
12:42:19 PM   24    5.79    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   94.09
12:42:19 PM   25    5.84    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.08
12:42:19 PM   26    5.75    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   94.13
12:42:19 PM   27    5.94    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   93.96
12:42:19 PM   28    5.91    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   93.97
12:42:19 PM   29    5.69    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.22
12:42:19 PM   30    5.92    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   93.96
12:42:19 PM   31    5.52    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.40
12:42:19 PM   32    5.92    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   93.97
12:42:19 PM   33    5.98    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   93.93
12:42:19 PM   34    5.85    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.03
12:42:19 PM   35    5.62    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.30
12:42:19 PM   36    5.66    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.24
12:42:19 PM   37    5.99    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   93.92
12:42:19 PM   38    5.62    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.27
12:42:19 PM   39    5.65    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.28
12:42:19 PM   40    5.81    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.08
12:42:19 PM   41    5.65    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.27
12:42:19 PM   42    5.71    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.18
12:42:19 PM   43    5.36    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.57
12:42:19 PM   44    5.80    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.09
12:42:19 PM   45    5.70    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.23
12:42:19 PM   46    5.68    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.21
12:42:19 PM   47    6.11    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   93.80
12:42:19 PM   48    5.69    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.21
12:42:19 PM   49    5.62    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.31
12:42:19 PM   50    5.71    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.18
12:42:19 PM   51    5.58    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.35
12:42:19 PM   52    5.83    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.06
12:42:19 PM   53    5.66    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.26
12:42:19 PM   54    5.64    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.26
12:42:19 PM   55    5.50    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.43
12:42:19 PM   56    5.66    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.23
12:42:19 PM   57    5.39    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.54
12:42:19 PM   58    5.54    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.36
12:42:19 PM   59    5.88    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.04
12:42:19 PM   60    5.56    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.34
12:42:19 PM   61    5.33    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.61
12:42:19 PM   62    5.60    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.30
12:42:19 PM   63    5.35    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.59
12:42:19 PM   64    5.60    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.30
12:42:19 PM   65    5.28    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.66
12:42:19 PM   66    5.86    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   94.00
12:42:19 PM   67    5.80    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.12
