Linux 6.8.0-60-generic (luna) 	07/02/2025 	_x86_64_	(224 CPU)

11:24:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:41 AM  all   99.53    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.27
11:24:41 AM    0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM    1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM    2   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01
11:24:41 AM    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM    4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM    5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM    8   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM    9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   10   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   12   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM   13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   16   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   17  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   19  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   20  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   21   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   22   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   23  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   24   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM   25  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   26   98.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   27   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   28  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   29   93.94    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   30   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   31  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   32  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   33   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   34  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   35  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   36  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   37  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   38  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   39  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   40   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   41  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   42   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   43  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   44   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   45   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   46  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   47  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   48  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   49  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   50   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM   51  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   52   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   53  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   54  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   55  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   56  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   57  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   58   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
