# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0    122     32     38      0      0      0      0      0      0   2619   1980 
    1    118     32     39      0      0      0      0      0      0   2619   1980 
    2     69     31     41      0      0      0      0      0      0   2619    345 
    3     68     31     39      0      0      0      0      0      0   2619    345 
    0    122     32     38      0      0      0      0      0      0   2619   1980 
    1    118     32     38      0      0      0      0      0      0   2619   1980 
    2     69     31     41      0      0      0      0      0      0   2619    345 
    3     68     31     39      0      0      0      0      0      0   2619    345 
    0    122     32     38      0      0      0      0      0      0   2619   1980 
    1    119     32     38      0      0      0      0      0      0   2619   1980 
    2     69     31     41      0      0      0      0      0      0   2619    345 
    3     68     31     39      0      0      0      0      0      0   2619    345 
    0    122     32     38      0      0      0      0      0      0   2619   1980 
    1    119     32     39      0      0      0      0      0      0   2619   1980 
    2     69     31     41      0      0      0      0      0      0   2619    345 
    3     68     31     39      0      0      0      0      0      0   2619    345 
