# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     42      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     42      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     40      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     42      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     41      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     42      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     43      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     41      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     42      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     42      0      0      0      0      0      0   2619    345 
    3    117     34     39     40      1      0      0      0      0   2619   1980 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     43      0      0      0      0      0      0   2619    345 
    3    148     34     41      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     41      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     41      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     40      0      0      0      0      0      0   2619   1980 
    1    119     33     41      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
    3    114     34     39      0      0      0      0      0      0   2619   1980 
    0    124     34     39      0      0      0      0      0      0   2619   1980 
    1    119     33     40      0      0      0      0      0      0   2619   1980 
    2     69     32     41      0      0      0      0      0      0   2619    345 
